topology,shape,level,total_demand_vph,n_seeds,noise,red_vs_fixed_equal,red_vs_fixed_webster,relay_mean_wait,relay_p95_wait,relay_throughput_vph,fixed_equal_mean_wait,fixed_equal_p95_wait,fixed_equal_throughput_vph,fixed_webster_mean_wait,fixed_webster_p95_wait,fixed_webster_throughput_vph
4-way,asymmetric,0.4,511.2,25,0.0,58.8,45.54,4.231,11.1,517.632,10.298,23.38,516.672,7.801,21.08,518.016
4-way,asymmetric,0.6,766.8,25,0.0,55.34,40.71,4.906,12.02,778.368,11.02,23.56,780.192,8.309,22.62,779.136
4-way,asymmetric,0.8,1022.4,25,0.0,53.31,38.08,5.473,13.08,1019.136,11.772,24.0,1021.824,8.874,24.58,1021.44
4-way,asymmetric,1.0,1278.0,25,0.0,55.12,34.53,6.25,14.34,1275.744,13.979,30.02,1276.704,9.562,25.84,1274.4
4-way,asymmetric,1.2,1533.6,25,0.0,61.41,33.5,7.085,16.0,1543.296,18.818,47.12,1544.256,10.695,30.16,1541.472
4-way,asymmetric,1.4,1789.2,25,0.0,80.28,31.75,7.978,18.2,1801.824,45.651,126.26,1763.808,11.716,33.24,1803.84
4-way,asymmetric,1.6,2044.8,25,0.0,90.71,29.7,9.148,22.16,2053.152,103.028,267.62,1888.992,13.045,38.46,2055.552
4-way,asymmetric,1.8,2300.4,25,0.0,93.52,29.16,10.454,26.64,2306.496,165.848,409.62,1966.368,14.783,44.4,2315.808
4-way,balanced,0.4,512.6,25,0.0,47.65,45.27,5.232,11.66,526.176,10.012,23.32,525.216,9.595,20.86,525.216
4-way,balanced,0.6,769.0,25,0.0,42.51,39.14,6.025,13.02,781.44,10.502,23.38,781.248,9.91,20.98,782.112
4-way,balanced,0.8,1025.3,25,0.0,38.48,36.17,6.719,14.46,1043.904,10.938,23.5,1044.384,10.534,21.08,1042.944
4-way,balanced,1.0,1281.6,25,0.0,33.36,32.35,7.608,16.32,1291.296,11.421,23.58,1289.76,11.25,21.82,1290.624
4-way,balanced,1.2,1537.9,25,0.0,30.05,28.57,8.472,18.32,1539.072,12.125,24.04,1538.4,11.876,22.88,1534.176
4-way,balanced,1.4,1794.2,25,0.0,27.9,29.04,9.478,20.6,1777.728,13.162,26.1,1778.208,13.37,27.02,1773.024
4-way,balanced,1.6,2050.6,25,0.0,26.45,26.38,10.835,23.68,2036.448,14.764,30.46,2037.792,14.737,29.54,2037.312
4-way,balanced,1.8,2306.9,25,0.0,30.33,27.13,12.607,28.18,2292.096,18.186,41.32,2294.976,17.321,36.4,2286.528
4-way,single,0.4,511.2,25,0.0,61.3,44.29,4.384,11.22,517.632,11.35,23.6,518.208,7.885,22.36,517.248
4-way,single,0.6,766.8,25,0.0,63.4,40.97,5.215,12.54,771.648,14.458,32.94,772.992,8.852,23.42,772.512
4-way,single,0.8,1022.4,25,0.0,78.61,34.82,6.387,14.24,1033.056,34.869,78.92,1021.728,9.829,26.28,1031.328
4-way,single,1.0,1278.0,25,0.0,94.71,35.34,7.498,16.76,1290.24,146.504,326.06,1125.792,11.635,35.76,1281.984
